"","(In113)Di","(In115)Di","(La139)Di","(Pr141)Di","(Nd142)Di","(Nd143)Di","(Nd144)Di","(Nd145)Di","(Nd146)Di","(Sm147)Di","(Nd148)Di","(Sm149)Di","(Nd150)Di","(Sm152)Di","(Eu153)Di","(Sm154)Di","(Gd156)Di","(Gd158)Di","(Gd160)Di","(Dy161)Di","(Dy162)Di","(Dy163)Di","(Dy164)Di","(Ho165)Di","(Er166)Di","(Er167)Di","(Er168)Di","(Er170)Di","(Yb171)Di","(Yb172)Di","(Yb173)Di","(Yb174)Di","(Lu175)Di","(Yb176)Di","(Ir191)Di","(Ir193)Di"
"HSC",0,0.70456257365063,0.136073100684563,-0.0163381147410376,0.663012539407547,0,0,0,0.279689411138861,0,2.44112373758581,0.0661503981119558,0,0,0.227257647305874,0,1.03600733306107,0,0.347232065200111,0,0.0850586237871267,0,0.183981185652083,0.312508284316594,0,1.39883771304309,0.716533065030379,-0.00780735503405924,0.233837162972075,0.78191342215842,0,3.39627884413451,0.0376783412434338,0.280645535604774,4.82231377188859,5.59488854653163
"Progenitor_1",0.191276927138275,2.80338551501552,0.643216985788166,0.149145593621074,0.966704839039707,0.167356940353245,0.284193230975468,0.192508022663712,0.904433683715067,0.0552440993876175,2.40538510623197,0.193556437116944,0.268354349081497,0.208334277741093,0.544415249264333,0.0373412250826012,0.548202936845277,0.120268851135128,0.803841975895459,0.022293099423092,0.0647405798141674,0,0.284616911517943,1.1918139536635,0.246906608185524,3.57852873144344,3.40727461030754,0.0174568742151557,0.268664558854454,1.61989817913846,0.0857800436471053,3.86683820793995,0.195847106214596,0.941939926803452,4.67692308550559,5.372175297389
"Progenitor_2",-0.0590605466599477,0.306547950800444,0.109119436490745,-0.112868859557593,0.931164907395013,-0.0165517886153156,-0.0732551657008129,-0.0555536220935947,0.375958176686971,-0.0514100558223635,2.32189136795273,0.271944161807085,-0.0515039786236264,-0.054386842348079,0.906787927401137,-0.0704322893186846,3.64438489559837,0.173841250250898,0.414063417329625,0.347357643321141,2.458240658912,0.0105193701432864,0.430529284327567,0.566735767964698,-0.0451379042901381,2.44810420201433,2.99955862664137,-0.0854349048059525,0.718396966456742,1.03989665087272,0.00745004415576867,4.81732621116549,0.219217488169775,0.24871874891752,4.50408921454845,5.27342961795543
"Progenitor_3",0,2.15331655491228,0.757493775660719,0,2.32796579990015,0.182152441160669,0.321690248675094,0.240296337779033,0.107798672427568,0,3.44702449645228,2.23511778229244,0.0573403860881686,0.114126188922151,0.28611310559975,0.0567252238679918,0.400423814213782,2.30680255628454,0.799654789173621,0,0.124943134674091,0,0.463784331631563,3.42162998307361,0.180847481185362,1.90879542579339,4.19519198395981,0,1.72700936273048,2.50302767755899,0.14441269075115,4.45610068047096,0.142362682995165,1.04351044557445,4.62783939768839,5.42814775078387
"Pre_Pro_B",-0.00135170147570885,0.366588514885577,0.226393427229601,-0.0101627008655738,1.23146117721515,0.144908695351345,0.195082511709778,0.198255092949989,0.492284618634675,0,2.28846678055311,0.203566309076577,0.0093883141070591,0.171266285275608,0.742966356676309,0,3.3903927944368,0.150020781939994,0.714214422400287,0.0644677369287888,0.201616277091394,0.0369909574432091,2.29336585928371,2.2910788230879,0.107398499142025,2.68568565561018,3.02962943366969,0,0.778185951711763,1.42461833583976,0.0583607220582139,3.99801570824641,0.204996673587047,1.11451985936784,4.5831442222868,5.34062706025924
"Pro_B1",0.107673562154378,1.12225146995707,0.653321976221158,0,1.98771067638003,0.444924871838757,0.568715191927706,0.471172727104067,1.02819855946035,0.0765590773731131,2.82664621890554,2.14550774202766,0.263404534535177,0.612750958155473,1.64426273790404,0.188843602134705,3.35785636857179,1.55807133697515,0.860439823369457,0.283570128281044,0.631995614703593,0.278753848225664,2.5524423379925,2.93896289489411,0.266867187338021,2.99879473357796,3.60444391418835,0,1.68134435943622,2.08421142842902,0.222075776352022,4.37884978876369,0.452120431104545,1.64164221574043,4.73094468360565,5.45568079081219
"Pro_B2",0.442831437327808,1.32998527998729,0.757631885746152,0.295893993731578,2.00959610512783,0.550583424667032,1.11951746340918,0.692586859960236,1.48573930462943,0.156993879013626,2.84521117206796,1.22091765506598,0.396665213881856,0.66662894366678,0.677959776236171,0.179771313144526,3.9834131178854,1.19806494683427,3.39826229978112,0.191408871136797,0.115074801404694,0.160130982006906,2.78497322255449,3.37984492303984,0.431198894140311,3.86602847346181,4.29503679732836,0.0249018539813102,0.233404214143152,2.6167101006335,0.254308206150335,4.34994784017717,0.231563662354901,2.41329045930369,4.94933762313446,5.61856438211135
"Pre_B1",0.897438824567561,2.41000996858433,1.05443252747031,0.709129741296562,1.97763887840977,0.857902106179339,1.16457067711322,0.916908410226367,1.99740921029326,0.36802105526024,3.29479905756447,2.22862103655353,1.01974715474421,1.45337078584377,2.29166113167972,0.42573440223548,3.61437276901917,1.56202277616055,3.49095680141966,0.269429966960652,0.198424116221078,0.279009568701897,3.14490493914746,3.6108979434794,0.47072063676843,3.71543301061119,4.37102920035632,0.112538005543225,0.328827176924299,2.64711022936145,0.398893230229243,4.71685121498778,0.921243665414941,2.50555291444387,4.91480505436818,5.56355049183472
"Pre_B2",0.0448793955915408,1.14831480938487,0.395935664993901,0,2.45506614704978,0.277095611178733,0.262588304132585,0.234319698068856,0.539568875680053,0.0529043377560491,1.25197490516302,1.17043825665053,0.0988723342860664,0.21817631430725,0.946189845238248,0.155194429333008,1.33842741393757,0.997617136749479,3.39747865943732,0.0383373548015036,0.0855174357050351,0,0.362748577546366,3.1446969673029,0.367566132736645,3.35179319707616,4.59434558963299,0,0.499573426842478,1.85709748501977,0.186931339413469,4.71626380367413,0.323378646001087,1.22774583178392,4.78658519244465,5.54553443097016
"Early_Progenitors",0,0.680283215800416,0.248831367783294,0,0.551694858447098,0,0,0.0696987867602655,0.294405399148036,0,0.60682301669318,0.185870771058986,0.0174291697206913,0.107931734134244,0.547317873549793,0,1.30065383807534,0.20062234524114,2.93354547155831,0.0195865602057712,0.119027853192539,0,0.184451298967283,1.18104120499796,0.154339968815809,3.10586443974642,3.58593362918129,0,0.257189128277728,0.91368803980059,0.00931475960430236,3.79952208495075,0.18099002889903,0.559242830762996,4.36914425721391,5.15504488411548
