"","(In113)Di","(In115)Di","(La139)Di","(Pr141)Di","(Nd142)Di","(Nd143)Di","(Nd144)Di","(Nd145)Di","(Nd146)Di","(Sm147)Di","(Nd148)Di","(Sm149)Di","(Nd150)Di","(Sm152)Di","(Eu153)Di","(Sm154)Di","(Gd156)Di","(Gd158)Di","(Gd160)Di","(Dy161)Di","(Dy162)Di","(Dy163)Di","(Dy164)Di","(Ho165)Di","(Er166)Di","(Er167)Di","(Er168)Di","(Er170)Di","(Yb171)Di","(Yb172)Di","(Yb173)Di","(Yb174)Di","(Lu175)Di","(Yb176)Di","(Ir191)Di","(Ir193)Di"
"HSC",0.014804063899751,1.13463460428809,0.318285915135539,0.0221904394250392,0.846861886729647,0.0966347618196571,0.119891748541089,0.0793782606129601,0.488291291400754,0.00707346374595379,2.28882768950676,0.149327504056981,0.104846533922774,0,0.261102033797344,0,0.732873592368251,0.0846841303173529,0.488619262252249,0.0528226713402012,0.0794951488743324,0,0.301921351285965,0.519897826099296,0.0194355701476999,1.35947476417104,0.867617244876314,0,0.292969043336151,0.882038069805565,0.0350324390397756,2.93070089476252,0.125934986286068,0.417783094977951,3.69972203782197,4.2718974097376
"Progenitor_1",0.143133615226319,1.80991145123901,0.517477574117573,0.0725040982637399,1.05230820986526,0.178498811026315,0.256858260839717,0.182382556437986,0.599835867000804,0.0662755973024337,2.17046710337971,0.2466939629179,0.161997009299185,0.159960036459289,0.407382217177392,0.0598362026213412,0.565266316149966,0.185552127773995,0.86258352781618,0.0544152853092289,0.0939229905669712,0,0.378332673240499,1.29866632419468,0.226390359074042,2.59256039945524,2.80095358009111,0.0374905479024317,0.351103447310332,1.41310345372482,0.110150669351523,3.23673372480489,0.198777032228817,0.8223043282707,3.64778416799557,4.24079540033237
"Progenitor_2",-0.0507520239416442,0.203598844230314,0.211699406939705,-0.0488114401076459,0.874041323694915,0.0502243253188345,-0.0211530817049622,-0.0126755948493719,0.447232141767762,-0.0146197386025195,2.07744982595186,0.418433907904417,0.0251519802960163,-0.022560585480509,0.801790525717871,-0.0162523274800599,3.42452021756804,0.274028781609773,0.419150663660939,0.50960685037788,2.2547666004564,0.079985984486385,0.573657610905096,0.762090234648868,0,2.01652532315503,2.55603184224766,-0.0331894124718094,0.515433477937382,0.935183765484263,0.0954619706911951,4.05130395598503,0.241416143268529,0.271258292862856,3.46080845783983,4.08357070512161
"Progenitor_3",0,1.76759238842036,0.605314266202356,0,2.00378922164734,0.159910578545914,0.324147861034201,0.231791028376041,0.0817002207291035,0.0261008845486879,3.0401233093658,2.06962733050005,0.0728705060757332,0.123843738310383,0.173857796172578,0.0709861214766427,0.314936375488936,2.15432262139089,0.820958497735971,0,0.0805495775552078,0,0.440174388063739,3.09938615385818,0.161404194040595,1.60943930614901,3.84050533340868,0,1.46809678779385,2.1863231800983,0.115848415388975,4.03241407366109,0.100611273301951,0.928843163174891,4.15275460281734,4.94903168361829
"Pre_Pro_B",0.166386982084209,1.00469468490896,0.44482563544973,0.127253713768851,1.10173808647715,0.306598099432069,0.396666516694725,0.285620016219936,0.773984163968378,0.0249771901937808,1.96456967942615,0.309960578410081,0.153917146903696,0.249604597811006,0.754411289750545,0.138717801886016,2.73336809417319,0.216305733647679,0.883180430444973,0.179012111050678,0.149021684210341,0.100863834946812,2.14316709075994,2.21754713485098,0.187221159020247,2.33366520335118,2.61416753421367,0,0.377461430998368,1.44967121168084,0.122416158834881,3.05173983593997,0.246332982263961,1.26857355757596,3.45460528119364,4.07598281581051
"Pro_B1",0.201230219853186,1.21400350158981,0.613817945848296,0.125310235063147,1.42281467978666,0.482188074633508,0.658221714235495,0.442465931826483,0.912017294771636,0.109724238531974,1.96167980421192,1.95712411846886,0.302506493920448,0.786749033054742,1.23878190346896,0.246203590233981,2.76860240201352,1.3697412312154,0.989047082161524,0.190747163143348,0.230306895388371,0.230239617159569,2.31846187544874,2.50943321884278,0.258882088673142,2.52718434510896,2.92388238239282,0.0169023653806646,0.699856799474543,1.56433313227197,0.162656446357113,3.022828272448,0.324391059704183,1.57071228989042,3.44120540181263,4.01060454855172
"Pro_B2",0.558772098550554,1.29262490856812,0.740971084315389,0.434928768387795,1.53092882408915,0.584795301428362,1.10559139265064,0.697130884846369,1.32838349854109,0.178464901090746,2.18563061784707,1.22989786168345,0.485351306168116,0.774013866737669,0.763801015832939,0.206448041529762,2.92188873640812,1.13477935999331,2.55428254897505,0.214630926112442,0.112312754108597,0.178418371400301,2.36190650170882,2.55220246436449,0.427499227085736,2.85919181542528,3.10534819679439,0.0439339715899356,0.201631160801892,2.09935380202754,0.257654559742629,3.19774446881944,0.249311648114276,1.99206014274475,3.48766480287642,3.95963315196998
"Pre_B1",0.777883698321644,1.8873417173368,0.9698352798577,0.889788476740647,1.52082411575128,0.747000190320079,1.04244590799365,0.856898846376913,1.61310788228665,0.34323102897592,2.62618776198123,1.91212368982931,1.20774405627227,1.3685069464439,2.02404726964196,0.345936374606058,2.83432605237923,1.25460582386934,2.72580026089814,0.202674452610423,0.162732076890776,0.238202289677561,2.68796592748375,2.77238911513879,0.363861946834979,2.8829320909347,3.24303949826666,0.101042506564513,0.265866883907396,2.11775638911598,0.329510184917914,3.44795705341298,0.784203327034986,2.0916552280896,3.5243853177521,3.98028983176413
"Pre_B2",0.0544048818212221,0.778208520673341,0.336483832119222,0,2.08367244999864,0.261015865915145,0.216252469854584,0.200028982052247,0.361073152557786,0.0855355607119659,1.22529778444939,0.794723948966966,0.0894028411225153,0.182271023550467,0.641620201890087,0.134052850421107,1.18046052302942,0.769381347242374,2.6557174844706,0.0549154909325124,0.102070151054472,0,0.435960090565261,2.38189731531676,0.284260770276572,2.36228742256741,3.58731284558037,0,0.482211436314193,1.4338500159073,0.167815814924863,3.68193539278984,0.265362915886808,0.977355283070578,3.57450436605809,4.19511226370524
"Early_Progenitors",0.0697686225483294,0.571612306382568,0.231852606831182,0,0.75043498842558,0.0746542523553194,0.077226722098288,0.115653060033968,0.403517461071197,0.00141174820854847,0.625709197797372,0.331905861697191,0.0709785172090731,0.148798824298489,0.583182671388621,0.0419255222056949,1.13985668410186,0.303885382063908,2.4425981788578,0.0308276624092916,0.0786097451245024,0,0.251947068528419,1.52443058320759,0.166992848760588,2.57608785519017,3.05069374643305,0,0.219107848623404,0.924468290355438,0.0662951761236349,3.0249948941177,0.192376234895973,0.613204538109059,3.47529807425923,3.96070825214083
"Late_Progenitors",0,1.4912034246811,0.16460783780544,-0.000457617694372541,0.276587836006695,0,0,0.0262690461081803,0.10759186487143,0,0.140666520981427,0,0,0,0.411396280593269,0.0244570944090739,0.414358200238927,0.00465844693461814,0.472483311442988,0,0.124926752210532,0,0.0531288776598119,0.254845062393808,0.0930647538431928,2.17696326547075,2.6319961008776,0,0.335612733940249,0.322281171539594,0,1.95889291169014,0.112739595721513,0.228773129855168,3.4665070903127,4.08158381536004
