"","(In113)Di","(In115)Di","(La139)Di","(Pr141)Di","(Nd142)Di","(Nd143)Di","(Nd144)Di","(Nd145)Di","(Nd146)Di","(Sm147)Di","(Nd148)Di","(Sm149)Di","(Nd150)Di","(Sm152)Di","(Eu153)Di","(Sm154)Di","(Gd156)Di","(Gd158)Di","(Gd160)Di","(Dy161)Di","(Dy162)Di","(Dy163)Di","(Dy164)Di","(Ho165)Di","(Er166)Di","(Er167)Di","(Er168)Di","(Er170)Di","(Yb171)Di","(Yb172)Di","(Yb173)Di","(Yb174)Di","(Lu175)Di","(Yb176)Di","(Ir191)Di","(Ir193)Di"
"HSC",0.20821018782762,1.14836664130999,0.22879899780199,0.136755402539393,1.23189734467655,0.127123980024857,0.131669761891686,0.151727435334485,0.354708635936049,0.0410082042805859,2.26808796890924,0.186039002783743,0.134762107231989,0.0942667810569968,0.452859181069784,0.0940991182640612,0.662655873535502,0.105371140426813,0.351669480828076,0.168845936208981,0.631746397690148,0.0548659090165938,0.362998046960302,0.678821345411275,0.0920082226163044,1.35981827886736,0.777167906120728,0.163570686219537,0.768973448418719,0.872709207461914,0.078024542280479,3.35561265615796,0.246697386798011,0.428458473026332,4.35281635003925,5.11986329375482
"Progenitor_1",0.383076162539048,1.18655074930061,0.354882764393529,0.162179512172049,1.08322604108098,0.127498429492613,0.122345354875767,0.175393331264777,0.280693636834504,0.0543502217477837,2.4404086711074,0.186627966118595,0.182056276559234,0.157617326878789,0.492417548083709,0.172399748858698,0.833156173333061,0.162930128396385,0.652085118399798,0.24062290209112,0.749815844910715,0.106220926054522,0.363520588373335,1.06663440154758,0.175488910781415,2.61058591937334,3.19708587117527,0.203958013039608,1.09200022928887,0.937361773452747,0.100545949472815,4.01598821970081,0.280600415041464,0.534212770016828,4.37685061321912,5.14511396535474
"Progenitor_2",0.480619343489938,1.4384248808421,0.528901426038883,0.173671490396145,0.967781028666155,0.19054417809018,0.124022418075212,0.241093937447584,0.474654646601503,0.135838203430257,2.28608202096704,0.229853426842745,0.206380043926935,0.228227103377043,0.685968390532404,0.294559414459361,1.80199308812155,0.224746557943361,0.78214468109875,0.501377873514448,1.75534012965425,0.181294358509075,0.423760776437666,0.642436416818403,0.242985842738885,2.86370876939731,3.12461401426333,0.229275814546797,1.60289868518907,0.781641783542843,0.143639598145663,4.27390027520249,0.375716857329803,0.441363224717806,4.21985111118034,4.96422521200082
"Progenitor_3",0.609808752276006,1.67047539467656,0.454190384539247,0.159031630936681,1.89079188016056,0.214104830527922,0.366847829090224,0.241667726943836,0.276156015136198,0.202380055862006,3.23335404035818,2.0515452833681,0.195205885214318,0.2043965895547,0.538081593693962,0.119270667565308,0.398994387881515,2.16583170049101,0.771800332913529,0.191190394718171,0.694487316723248,0.123170743847639,0.516165859621759,3.23076890043307,0.215463377536705,2.11840117054083,3.89043849157719,0.34968472466875,1.15231841037129,2.42090259888621,0.167736456282516,4.24305911765429,0.340673918171284,1.06808684696794,4.64394712697611,5.41383399659932
"Pre_Pro_B",0.361373224125558,1.12021101408758,0.316676895815863,0.159031630936681,1.31879078244646,0.212620518987851,0.219392424188048,0.235043887389767,0.463452323701965,0.121936327018977,1.92666488455124,0.305771966216533,0.165164101038229,0.286394708521333,0.752988312230994,0.194589035377782,2.95397613480002,0.228153775885379,0.734309539806509,0.241605142253842,0.768087793811901,0.146477009719364,2.07513644939208,2.26047609501781,0.184335201472666,2.20057174103803,2.7739335429245,0.268950036290347,1.06379139877873,1.1438401536355,0.127159999651886,3.70769757584072,0.443721366948689,0.952963041696143,4.19273806500264,4.96503877092719
"Pro_B1",0.343057928902334,0.980401122685771,0.404404978541716,0.162734159261556,1.56089391445671,0.289933542879483,0.448525698585078,0.351511948464344,0.628985971195821,0.0831556795954901,2.01710580561699,2.05479309493716,0.253405102538274,0.688584179765898,1.38962028891679,0.180666623132864,3.228420122564,1.46254931319001,0.826450243987574,0.242635169833496,0.80350217693662,0.207538045368326,2.27095063596854,2.72423765968982,0.257749937381421,2.75905726217644,3.43652810587006,0.245512069741342,1.23142839729053,1.351164407249,0.150092712102047,3.28028982417204,0.500420306180557,1.37219334237419,4.29845812982123,5.04479780331855
"Pro_B2",0.176671833218466,0.691675087798103,0.93062621289713,0.563270472645985,2.22580798145859,0.652017552880513,1.33234002100325,0.673545439368193,1.7221415067189,0.100138986937482,2.74335828646672,1.49512396127431,0.708542386243917,0.806356030285343,0.510594218925146,0.209266087625087,4.19299919965981,1.41658409085916,3.65543597698279,0.370424632535588,0.906092277766303,0.28688330767604,3.21334344922897,3.43837921384533,0.378603998009022,3.05732062567243,3.37310921057869,-0.0597384291075286,1.66194390581376,2.82939114667666,0.274951665930025,3.77625404618855,0.112328414686512,2.46625060659907,4.1509743824201,4.87647307998558
"Pre_B1",0.359301288396236,1.1233859070284,0.935871101573156,0.583146449415727,2.07383802234942,0.776021191010576,1.0778767892575,0.768606968098712,1.85499886633199,0.276085961192071,2.45986330629952,2.24157646630438,0.956946635831053,1.3598370665107,2.19926323016111,0.425781605087363,3.60233806454903,1.34627425996029,3.51426635354894,0.371636992237366,0.94051532876345,0.327408117482528,3.22424932647646,3.65219950336445,0.383749195456055,3.26210176738505,3.55881011663743,0.132828142359655,1.69604897373461,2.47753182248721,0.328188467135165,3.89668235994656,0.704479243445167,2.33385433396493,4.14808372638835,4.87588537788046
"Pre_B2",0.343057928902334,0.934919357286219,0.383325838364693,0.159031630936681,2.39797123871819,0.255730206680669,0.296249800474468,0.221293094891406,0.63424197817375,0.093569058878431,1.08926903411147,0.930794813644374,0.214413107491047,0.271460411551694,0.836669219944028,0.172106885851384,1.23057835202886,0.906990359682867,3.22093634946629,0.215324979790043,0.803578935403684,0.108610463587281,0.424672210738048,2.94246469630328,0.342657523941094,2.92890090499224,4.06069428784734,0.179950088615927,1.5538858649229,1.73995461243915,0.214910018506501,4.31772449648498,0.367925104939754,1.11821619485184,4.23307270260158,4.97883424058503
"Early_Progenitors",0.561365357452118,1.23649162148035,0.31447369893979,0.172854962743736,0.626667177158943,0.157181189392236,0.104418740884864,0.172798427779272,0.366495039064792,0.155396238198426,0.575974832004569,0.181190069228057,0.178377344463033,0.230188513357932,0.837355945127592,0.242596219808086,1.36470589487723,0.226013912227759,2.90222440340313,0.228187907241116,0.754546219489756,0.0802022691661339,0.230761037246079,1.07296749197822,0.14873777455201,2.31365201055017,3.35915114972821,0.265097067398449,1.12783421721932,0.779286705413442,0.0942444095550299,3.69215519636367,0.345078736028201,0.483293563028362,4.11047860479184,4.8849475734167
