"","(In113)Di","(In115)Di","(La139)Di","(Pr141)Di","(Nd142)Di","(Nd143)Di","(Nd144)Di","(Nd145)Di","(Nd146)Di","(Sm147)Di","(Nd148)Di","(Sm149)Di","(Nd150)Di","(Sm152)Di","(Eu153)Di","(Sm154)Di","(Gd156)Di","(Gd158)Di","(Gd160)Di","(Dy161)Di","(Dy162)Di","(Dy163)Di","(Dy164)Di","(Ho165)Di","(Er166)Di","(Er167)Di","(Er168)Di","(Er170)Di","(Yb171)Di","(Yb172)Di","(Yb173)Di","(Yb174)Di","(Lu175)Di","(Yb176)Di","(Ir191)Di","(Ir193)Di"
"HSC",0.128119875119723,1.11890335299494,0.278251441293774,0.120998839824854,1.17628494888348,0.13427393404557,0.170760720636783,0.159977938645059,0.49944268857748,0.0313135409874014,2.65429582371435,0.200158114612831,0.140381497049349,0.0615943168891351,0.303408023608207,0.0211016253238666,0.628539689954836,0.119280823394677,0.341196659063797,0.182053989977361,0.111446244388695,0.0585852770500218,0.34463292742166,0.540577128593335,0.052913307618225,1.04805231742719,0.785156363521441,0.0254995278229248,0.607578632296958,0.928373641072592,0.109612170948555,3.73945134771747,0.260771989874996,0.364716807189201,4.18573009045979,4.98281155627067
"Progenitor_1",0.216383642359816,2.07816850228472,0.486229743529352,0.190454484275311,1.05033894129026,0.155125699694534,0.260771989874996,0.183253988049666,0.68486881152666,0.0513169094045573,2.45081419221335,0.196833830630706,0.260473596280806,0.211844275908258,0.43197937084868,0.0317462254874271,0.454074897786178,0.12458077869507,0.773051736037574,0.0836925231422889,0.079884510082253,-0.0200227173337569,0.303606429882639,1.325443921889,0.231769728188846,3.08569807514968,3.16621028985465,0.0675510161277013,0.369470291164829,1.51696728375817,0.099221856668477,3.85455101229502,0.221148750293052,0.816865005634223,4.45802478708576,5.1621271242741
"Progenitor_2",0.174403702863545,0.372159039511858,0.281177308505825,0.144327239526318,0.92241486340009,0.195324103164837,0.169704742251225,0.17543784874267,0.527300954872977,0.160284963183605,2.24488322025149,0.45457122176102,0.186874676401838,0.174512813451693,0.863670360597291,0.159236073586241,3.75027753269732,0.363513526111457,0.505733395912858,0.483072641305557,2.47333389798458,0.227253499101609,0.565945040163528,0.67233178220632,0.183288396476022,2.23851630806721,2.84525973852289,0.161174621215859,0.681355884048603,1.02248610646824,0.226561591857207,4.80153970438041,0.35486350933784,0.377790243873046,4.16895669841717,4.98103338945422
"Progenitor_3",0.260771989874996,1.80734247379399,0.679322526228784,0.260771989874996,2.07890278873243,0.287324056553701,0.430773330676379,0.349838727664011,0.260771989874996,0.260771989874996,3.15766205797049,2.11338736275636,0.260771989874996,0.280947742964274,0.331636700040713,0.260771989874996,0.434398138525945,2.2055202578275,0.844725537789248,0.260771989874996,0.260771989874996,0.260771989874996,0.528735133574193,3.27621193674366,0.289830952824964,1.71668451087366,3.99666410632823,0.260771989874996,1.53236005410322,2.33150610984602,0.260771989874996,4.21700801604806,0.260771989874996,0.977833837777629,4.30068811611429,5.10569565044441
"Pre_Pro_B",0.286923599651177,0.516537116029352,0.384869369430328,0.176789140206063,1.29845974470546,0.322196553620757,0.385095407053238,0.361790892570723,0.646691366396181,0.141550983653048,2.27918996762697,0.367293157651486,0.213279203102758,0.346853634499326,0.760385479912229,0.202059872162597,3.23788173835032,0.292038486782569,0.737235638070334,0.302310040658209,0.334909026539371,0.215093725334555,2.18357959005062,2.34223397427747,0.241451595053655,2.40951115036659,2.90807338664861,0.0893842354173614,0.878557197601365,1.35770078214185,0.213418989257055,4.0833792848941,0.351166200627035,1.07713917257313,3.99582359905598,4.80765104721306
"Pro_B1",0.257411225605507,0.690575848370191,0.474569908740733,0.130135760064021,1.62038031294079,0.40487103322063,0.488871615573721,0.419891770179191,0.774291934990604,0.150758618839559,2.19244835582034,2.1077720958252,0.264332394815954,0.669204500593963,1.6076419386827,0.223608618239234,3.35360272409381,1.49051604073397,0.862408180178426,0.260771989874996,0.359258662421092,0.260771989874996,2.50053666797018,2.72314795388477,0.260771989874996,2.9815714549641,3.77071503186094,0.0739156617405226,1.13495855037428,1.62564022978033,0.20723455567402,3.80349877547441,0.362786535844673,1.43865435495848,4.09464972533406,4.87772189932095
"Pro_B2",0.412474469281863,1.29967025946435,0.692620230367785,0.319487389503402,1.93665913395155,0.5003230843443,1.14249347099239,0.629964483038499,1.52803403414089,0.0922911647365139,2.77129389802686,1.24387183805776,0.374213028469234,0.654939409821524,0.650351093049364,0.124407546828549,4.03022527722162,1.16585523073922,3.34089403158226,0.189922858433182,-0.108599181464681,0.0329208897599382,2.86579568334819,3.35866046214481,0.373192642300807,3.93248431821794,4.29472053988436,-0.200670790947611,-0.0457524148752923,2.64262902390323,0.175308768220773,4.26047379277484,0.115650851566696,2.44777883062063,4.9318194163468,5.59102586278157
"Pre_B1",0.695885349161654,2.21821408378413,0.920107216476585,0.761377369621064,1.77007538432436,0.714137928152082,1.1561058317237,0.839108780493076,1.94342062733862,0.190565152479279,3.25825827264231,2.13731323270612,1.11221611642861,1.40776722106993,2.17365233657414,0.240323874888432,3.74557532415479,1.30395681971622,3.3668819667944,0.052202288567323,-0.116946290193855,0.00912157127757329,3.28681613884306,3.59179631909733,0.243007480964978,3.81364570709081,4.19426004540476,-0.13717810529405,-0.0735682503942319,2.65503748457956,0.179882954635627,4.59155953828143,0.596217163102324,2.56924017825173,4.91072714663453,5.55295464157977
"Pre_B2",0.210765291136694,1.01933292013979,0.338592899498972,0.0870983267476312,2.40125965952349,0.28472709604759,0.320712421445293,0.233911532924478,0.55796407170009,0.141337579630602,1.27229310539246,0.895758057258467,0.146643624045414,0.271841421666185,0.747960567047129,0.201728289362488,1.14387468785801,0.885018596375884,3.23233981954156,0.156519219933597,0.134635122893507,0.0780309659778598,0.4134118789943,2.85504810839254,0.362057684759351,2.95014267659243,4.38486076505295,0.0570312694178037,0.571605977768168,1.68092368487694,0.248201097342785,4.58982283609621,0.335308234870338,1.06279300271522,4.38093948294133,5.16285603093058
"Early_Progenitors",0.260051938050604,0.600013904006725,0.347629345751727,0.182382966826265,0.625346166979115,0.185206874703941,0.226004997528711,0.218388789204753,0.427840715401892,0.156013039316593,0.662457391813592,0.344302399711137,0.229513181709396,0.287874701838258,0.573780170632972,0.188291014295156,1.19190479102754,0.354402429046919,2.8500125924405,0.208403344845128,0.223654319926335,0.141816959591498,0.291404931234336,1.225848845541,0.263793857467574,2.75369881822327,3.40490714857471,0.133579093068499,0.390118817766385,0.806594162452874,0.173501056186993,3.74640998251916,0.305001029524267,0.553062969592345,4.13155005805581,4.97266755525758
