"","(In113)Di","(In115)Di","(La139)Di","(Pr141)Di","(Nd142)Di","(Nd143)Di","(Nd144)Di","(Nd145)Di","(Nd146)Di","(Sm147)Di","(Nd148)Di","(Sm149)Di","(Nd150)Di","(Sm152)Di","(Eu153)Di","(Sm154)Di","(Gd156)Di","(Gd158)Di","(Gd160)Di","(Dy161)Di","(Dy162)Di","(Dy163)Di","(Dy164)Di","(Ho165)Di","(Er166)Di","(Er167)Di","(Er168)Di","(Er170)Di","(Yb171)Di","(Yb172)Di","(Yb173)Di","(Yb174)Di","(Lu175)Di","(Yb176)Di","(Ir191)Di","(Ir193)Di"
"HSC",-0.0149601504340838,0.397261000918024,0.0836048357555641,-0.0263916491023145,0.941401210361403,0,0,0,0.131589101333525,0,2.54004322923885,0.0934603863644378,0,0,0.102769125185626,-0.00485374474571916,0.794397543132462,0.0456563624907782,0.340001476924279,0,0.0970053913876331,0,0.223775037564026,0.464755345430772,0,1.1188317436164,0.752862806944823,-0.0161690319928398,0.390451278707752,0.710940076017796,0,3.68384152137312,0.0650814169884241,0.246224043351019,4.33599755306625,5.13339061481648
"Progenitor_1",0.0809001557300256,1.80842695879882,0.502327581861626,0,1.29120778398895,0.153290132504858,0.17608898331219,0.163242366206222,0.339748429919722,0.047555276411055,2.59542143621416,0.212201287832354,0.0980849989090282,0.12184429058455,0.354708949771087,0.0337615244560048,0.557326304151537,0.167103806735428,0.769453151330198,0.0362509777552019,0.09924031468307,0,0.342946304262604,1.43166303245193,0.193466537108122,2.81796453619071,3.28094980046916,0,0.500782223015867,1.42749129332171,0.0936440524740773,3.98294557561087,0.174998669629148,0.721933591772492,4.39998278219659,5.14111425541304
"Progenitor_2",-0.0402944905412158,0.171392488771068,0.115054521158705,-0.071566459554823,0.933313323785984,0.00701904344425183,-0.0390929702069097,-0.0254977849533755,0.431588030806386,-0.0246215000739786,2.21073390372935,0.373690550249961,-0.0169353883301585,-0.0294352938413864,0.835278786083984,-0.0431115494253604,3.6314274916873,0.250061695192635,0.407050845865008,0.413332802911333,2.37873233404698,0.0606126644735628,0.499732891839949,0.624205645282624,-0.0223094747071837,2.17092841504811,2.78777553561264,-0.0545852458161155,0.613851002710576,1.00505861587032,0.0732896289390009,4.65315445453779,0.204355185648397,0.216774726950212,4.01979564842404,4.81767412047443
"Progenitor_3",0,1.79065590981561,0.617982089465217,0,2.06631910413731,0.155145382241133,0.310737240873892,0.230938766025357,0.0799562950370323,0.030531273269047,3.12292117308513,2.08914178925832,0.0722846162934725,0.117713130384877,0.193547918739046,0.0702691529406171,0.322828653307797,2.19661064594191,0.815042068964548,0,0.0964240435143278,0,0.442835123106134,3.28413572791976,0.161517618211078,1.52188251828271,3.89456988421788,0,1.49380736634939,2.35867119965023,0.118820153087681,4.08216612399634,0.0981866772237658,0.902591189153003,4.11167657910999,4.91733300076843
"Pre_Pro_B",-0.0157132388033794,0.138855578168822,0.155284100688144,-0.0184168701048043,1.30608283562352,0.107553427907324,0.144048386135763,0.168733893831841,0.383200498422786,0,2.13681928884857,0.262942341428964,0.0197413913329941,0.188291939597341,0.729078534656808,0,3.1444560728636,0.18646630224728,0.712019802729107,0.0913423776842077,0.263196795198587,0.074274875036473,2.15969330021579,2.17683373589535,0.123623719292631,2.2444943732847,2.85243697152793,-0.00182092666579112,0.929611338532588,1.23393352113605,0.074619804477254,4.15500163562357,0.251353720573109,0.908111368994232,3.74325971037471,4.56262708424836
"Pro_B1",0.0926920483649696,0.832641319094766,0.554514040958259,0,1.86104782620853,0.3719729426187,0.483277648171956,0.449529959255989,0.896492404661835,0.122331635354799,2.45007671267772,2.04226293055399,0.252720018891473,0.660386985239613,1.63204143439351,0.178011867179952,3.03678847501177,1.49480235213156,0.890776206508492,0.285089695983934,0.432431572989449,0.303373469923329,2.41134794888525,2.66355597679605,0.259578948197875,2.75506350351974,3.55887457935023,0,1.38350931035756,1.80180989373235,0.19512343575545,4.05382484356559,0.420329896791053,1.48069327745593,4.14112852011321,4.88479212571407
"Pro_B2",0.596202471790491,1.44485237374896,0.881477028461276,0.316837363774297,2.26400008031214,0.648008696443775,1.31726450656646,0.765961160635172,1.81587030835827,0.17781215396595,2.9852863705703,1.40826483062934,0.428299478747431,0.717389646014915,0.762452596127518,0.223271086023227,4.28325536904442,1.31707456946009,3.57521045383292,0.202064591545459,0.142246871572309,0.204404342528973,2.91856040498897,3.56734934785952,0.559109635841119,4.22182971278629,4.62508399257003,0.0378429889659066,0.340647679673519,2.86368898354647,0.314963589066116,4.43700961364686,0.280683259864714,2.5985816203693,5.37893123074068,6.03923854824174
"Pre_B1",1.25454726855862,2.86693697972279,1.3626739381861,1.21680448406561,2.28585928685828,1.1334840137708,1.71604944861389,1.18832438961036,2.48140301582373,0.466671185850135,3.64528789286984,2.2715009642025,1.44317024173127,1.66158807821111,2.24711032401959,0.504148466482031,4.16569051732456,1.68225892314116,3.80402847525249,0.328203629173472,0.195356638528573,0.290473366956938,3.5523087606706,4.00539757298511,0.580751086821328,4.28161991271198,4.64736233772687,0.138304433733073,0.298504148703612,3.27848680112244,0.500283192320801,5.06808589213625,0.830451659346044,3.01467160161318,5.46526265644469,6.10772913235404
"Pre_B2",0.104553047368134,1.24822501568165,0.4261364274601,0,2.46890517562759,0.293416816667296,0.263463211916389,0.248550491303741,0.506637887647983,0.0946944741704153,1.57598118885445,1.00200733829527,0.124011126493031,0.267678026011155,0.840123738054668,0.155924738348395,1.177832139871,0.901946201821725,3.38667099516698,0.0619072702612333,0.108248859973756,0,0.382989939695693,3.03141170744961,0.355659312449168,3.1950844239092,4.55260207208158,0.000202280328160903,0.501121890301362,1.748922766663,0.197250500120268,4.7871940371273,0.325009019796849,1.14441290429169,4.57567602864097,5.33012280516193
"Early_Progenitors",0,0.205591712000302,0.166958648651877,0,0.563164799912722,0,0,0.0468921588011298,0.152317125419851,0,0.476974059049802,0.158966226728927,0,0.075030112151514,0.42408230691106,0,1.31762346146891,0.17253048560307,2.766902283614,0.0243834070429596,0.133791973292006,0,0.191235428743468,1.06042389952678,0.099769194820547,2.45734643985645,3.29680082487386,0,0.340763420153967,0.665821824609221,0.00774302792054593,3.72329679185569,0.161685297208159,0.405616569185145,3.81607988162792,4.66298591256264
