"","(In113)Di","(In115)Di","(La139)Di","(Pr141)Di","(Nd142)Di","(Nd143)Di","(Nd144)Di","(Nd145)Di","(Nd146)Di","(Sm147)Di","(Nd148)Di","(Sm149)Di","(Nd150)Di","(Sm152)Di","(Eu153)Di","(Sm154)Di","(Gd156)Di","(Gd158)Di","(Gd160)Di","(Dy161)Di","(Dy162)Di","(Dy163)Di","(Dy164)Di","(Ho165)Di","(Er166)Di","(Er167)Di","(Er168)Di","(Er170)Di","(Yb171)Di","(Yb172)Di","(Yb173)Di","(Yb174)Di","(Lu175)Di","(Yb176)Di","(Ir191)Di","(Ir193)Di"
"HSC",0.355477879318179,2.73694069984787,0.546933739624253,0.460098628906155,0.808008259019559,0.234851083645309,0.224586568783887,0.296101134384077,0.509234629664427,0.155727197738848,2.22359093515557,0.204591671245113,0.309723089101059,0.251245561954566,0.574392709797495,0.218729404036495,0.692800770052757,0.12878472026825,0.332732727770827,0.565059195301483,1.2482344229829,0.0959512370483511,0.321395642822614,0.760084046297179,0.144614044991698,1.54050998242788,0.860604874300385,0.240178877384927,1.01932954044191,0.957474791159877,0.11525742164081,3.29340095937387,0.282847176449666,0.559010622394339,6.09505832298288,7.30616855489553
"Progenitor_1",1.30144739811279,2.99566887713453,0.699945986068133,0.40512493957637,1.10728831566732,0.493057766774921,0.26965208993155,0.460058939717163,1.01657164920862,0.668066236289506,2.15864379003479,0.275983874319496,0.251855284226846,0.390381270604946,1.13137812648344,0.550220472781712,1.5757444787892,0.238985611249849,0.54557611506568,0.712304908317358,0.404322876466254,0.115994732157109,0.276160722089233,0.911115662191362,0.155875131459213,2.48798160569722,2.96230097451944,0.220269332510447,0.653390818799497,1.0122940945608,0.163660385948963,4.62504384844286,0.842878667008855,0.672940784368817,6.05745759477091,7.06646040723692
"Progenitor_2",0.91503729838818,1.99333868007169,0.825681371708342,0.692153422848282,0.710031864399291,0.112241931704761,0.200210210780488,0.349976669259988,0.390094733774632,-0.0330364986402812,3.00332356414606,0.207420143121679,0.497544594429821,0.194279149841602,0.511838745192154,0.334420263022676,0.928787504338157,0.131784564325867,0.618779998298445,0.801377705513031,2.50614675488849,0.268646843778934,0.406002558050382,0.697159902070726,0.35296961017466,3.50487505118767,3.39215842758877,0.188310398757,2.97863698077682,0.767255179132347,0.162038432081076,3.52666213109157,0.207372650023902,0.72144296514502,5.99494219938913,6.5282605442712
"Progenitor_3",0.856333731323502,2.90891253352848,0.560567530229025,0.739649826629434,1.74391139766191,0.31264259846612,0.509159491364271,0.323665824074413,0.45544820100024,0.382222347975948,4.41909394336614,2.44731938937072,0.388554638123495,0.29738318395634,0.613804013010582,0.216247647780029,0.649662342354039,2.36071779089134,0.732094887544435,0.702610566996233,1.85644320792134,0.430082028388042,0.565791106982943,3.50242798961507,0.31033009381831,2.73480745293188,4.2343339852907,0.290590414806843,1.3376850710614,2.64080323803692,0.240797804628663,4.39215026402111,0.478440616190341,1.71933746120854,6.23783021532746,7.16133762647979
"Pre_Pro_B",0.46637889628416,1.65849013348835,0.619590769680404,0.547522519223235,1.19698015460006,0.278479970943121,0.323903749488993,0.338878515908449,0.541624468435359,0.100599940256324,2.56409910374798,0.30004921089366,0.338257048966993,0.343488275383552,0.69438358000138,0.322051927711669,2.76492642825592,0.235044165766924,0.714534917675958,0.694313058977105,2.0265327733198,0.232243403795055,2.19218984483083,2.22744168523091,0.25903951326965,2.66042123117182,3.06654468198162,0.374073414427987,1.26657921655736,1.21219178395404,0.172122720149813,3.83068930998392,0.478440616190341,1.27686989503611,6.38287159457094,7.3138814515842
"Pro_B1",0.487721361093663,1.70679265188304,0.706979812114353,0.616187328487241,1.39306184166702,0.348562642862929,0.555054656208054,0.381842029583947,0.719161081812736,0.165311418788458,2.85625283742754,2.40118067261907,0.44562963285512,0.61985412876514,1.39781695105296,0.325798887764677,3.65397348815141,1.51151447419868,0.843415892216759,0.742629520666234,1.75975955937407,0.292234517955217,2.41577337409465,2.94484278988869,0.336348071201791,3.07596310638508,4.02406514484176,0.414339448312359,1.22993191730088,1.59376908591088,0.194853864788072,3.30945494263659,0.672926248666973,1.92666352452946,6.47409955781677,7.42367088259523
"Pro_B2",0.2419135632162,1.22822886442613,1.27271778479222,0.863636870369028,2.23855981859298,0.570652549422078,0.978819791545483,0.60631923462695,1.55844192363705,0.100397289470357,2.97133120872141,1.28971214376074,0.977841191224266,0.630991538530354,0.502360276355502,0.300202108698161,3.30155003823366,1.31851771788131,3.60944582159366,1.00741343253177,3.28356651760779,0.46186406933163,2.95008406384249,2.40770113893017,0.375025559289582,3.1662399276793,3.6145751724675,-0.00606769474413492,2.69810700584772,2.67460636710527,0.281233714558715,3.75547995772564,0.151353032514438,2.11017593784765,7.31303279318624,8.93774590372363
"Pre_B1",0.415244010689474,1.79133840776757,1.38188038801031,1.02661046402222,2.37843143229216,0.782997186819443,0.953747207503928,0.743257146014575,1.79157032580403,0.326329068148775,2.64080323803692,1.74409983435756,1.21111896239775,1.12009977512851,2.2720920906399,0.612475104558305,3.21763298746594,1.26769402005802,3.63487329190495,1.08476071154188,3.18845695417322,0.48075790183096,2.82932708073094,2.58448800276232,0.44180518370351,3.42061812593366,3.90247731271555,0.13415795249634,2.84051373823157,2.47550051501561,0.397972131194546,4.1020782145387,0.759190600189569,2.12303028890621,7.43379778173919,8.7104689467977
"Pre_B2",0.365908361715423,1.77421444208749,0.589915776356758,0.523662649717861,2.31347299497041,0.322498018842739,0.453499170434666,0.290054542717685,1.06657280271839,0.124129660704203,1.30787675534981,0.865121511194101,0.468593599165474,0.377290643607774,0.893597692973883,0.28680372969338,1.40851119877891,0.911387890200906,3.22219996932341,0.634213536623965,2.7516924257374,0.166759851546823,0.453203299230781,2.5332122190566,0.41031080711573,3.24048597027029,4.56333276956816,0.2625943759175,2.62652712881913,2.0610276193736,0.278351205327091,4.38314521888728,0.449644003843544,1.41381649948799,6.11307540757621,7.16026559763215
"Early_Progenitors",0.680887238714217,2.43797011380159,0.541024425852673,0.560705738368443,0.715082782851857,0.228605524681422,0.198981168909118,0.268995654563253,0.659314378401042,0.158082156191296,1.05610779768493,0.302709681737861,0.353881003611214,0.358081584889596,0.97636280013626,0.459969055359839,1.36344713577746,0.304280122611403,3.00892290905016,0.666292309058647,2.23813742319587,0.127098047210849,0.261592864238562,1.46281563779191,0.254025745370788,2.61240066420937,3.69016033461902,0.410069316170509,1.5669108317761,1.05176465716811,0.143602808769986,3.64437569103651,0.395298973503253,0.802687114331082,5.52541512029682,6.46929488570043
