"","markername","mean_norm.all_markers.","mean_val.all_markers."
"$P1S","CD45",5.43155689206755,5.60619432637438
"$P2S","CD278",1.21892365732127,0.918767077837203
"$P3S","CD27",0.829334286716441,0.7323811449571
"$P4S","CD57",1.7966436274847,1.5642629495079
"$P5S","CD11b",1.5465340866281,1.12135498600031
"$P6S","CD4",2.4483431358355,2.34899994965097
"$P7S","CD8A",3.16087819446134,3.26477701935594
"$P8S","CD28",0.836568068154297,0.661266563325378
"$P9S","CD274",0.694054570600285,0.508805203122551
"$P10S","CD45RO",1.86161977549708,1.69107603108446
"$P11S","CD134",1.11583783901398,0.931612795553514
"$P12S","CD244",0.875867311702272,0.61748173667423
"$P13S","CD38",3.61425967052048,3.74547778190825
"$P14S","TIM3",0.75261067206537,0.604688173461192
"$P15S","TIGIT",1.07159193620025,0.93720313358432
"$P16S","CXCR3",3.75919262200227,3.78239843387097
"$P17S","CD137",1.14167994844444,1.01968171322588
"$P18S","CD152",2.4375256812795,2.37945878116144
"$P19S","CD25",1.00553855940956,0.855341750214177
"$P20S","CD272",1.52876314783359,1.52758109905079
"$P21S","CD39",1.62403342901414,1.49433153652923
"$P22S","CD223",0.917494586994951,0.551812482219355
"$P23S","CD101",2.12197992059039,2.07240413259546
"$P24S","CCR7",0.92380482632727,0.724718448890033
"$P25S","CD127",3.22863389415863,3.36769023361527
"$P26S","CD45RA",1.05077540668106,0.960517626535769
"$P27S","KI67",1.1698396308992,1.04032207569372
"$P28S","CD122",0.837183882602332,0.662598850184765
"$P29S","CD95",4.44786278556973,4.56766606774125
"$P30S","CD279",1.41438881268551,1.19150628378868
